[IMDb Charts]
[235,  Hachi: A Dog's Tale]
[236,  The Handmaiden]
[237,  Pather Panchali]
[238,  Amores Perros]
[239,  Rebecca]
[240,  Cool Hand Luke]
[241,  Guardians of the Galaxy Vol,  3]
[242,  The Sound of Music]
[243,  It Happened One Night]
[244,  The 400 Blows]
[245,  Persona]
[246,  The Iron Giant]
[247,  The Help]
[248,  Life of Brian]
[249,  Aladdin]
[250,  Dances with Wolves]
[You have rated]
[More to explore]
[Charts]
[Top Box Office (US)]
[Most Popular Movies]
[Top Rated English Movies]
[Most Popular TV Shows]
[Top 250 TV Shows]
[Lowest Rated Movies]
[Most Popular Celebs]
[Top Rated Movies by Genre]
[Recently viewed]
